sku,store_view_code,attribute_set_code,product_type,categories,categories_position,category_ids,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,additional_attributes,color,cost,custom_layout,gallery,manufacturer,merchant_center_category,name_of_store,price_type,price_view,shipment_type,size,sku_type,ts_country_of_origin,ts_dimensions_height,ts_dimensions_length,ts_dimensions_width,ts_hs_code,ts_packaging_id,ts_packaging_type,url_path,url_to_product,weight_type,wee_tax_variations,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,configurable_variations,configurable_variation_labels,video_url,tier_prices
0-120010-0100 - Högl Store Spice SC,,Default,simple,Default Category/SIEVIETĒM/Apavi/Apavi bez papēžiem,Default Category/SIEVIETĒM/Apavi/Apavi bez papēžiem=0,"89,88,83",base,BOULEVARD 10,,,,1,Taxable Goods,"Catalog, Search",139,,,,boulevard-10-0-120010-0100-hogl-store-spice-sc,BOULEVARD 10 - Högl Store Spice SC | Spice,,BOULEVARD 10 no zīmola Högl Store Spice SC par €139. TC Spice atrodamie Apavi bez papēžiem tagad arī internetā!,/e/0/e0d33e466c94e00c817a644e201358198dae60b4391de3ccd30caa03842c35cc.jpeg,,/e/0/e0d33e466c94e00c817a644e201358198dae60b4391de3ccd30caa03842c35cc.jpeg,,/e/0/e0d33e466c94e00c817a644e201358198dae60b4391de3ccd30caa03842c35cc.jpeg,,,,"9/30/20, 6:45 PM","10/14/20, 2:31 PM",,,Block after Info Column,,,,,,,,,,,Use config,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,0,1,0,0,0,,,,,,,/e/0/e0d33e466c94e00c817a644e201358198dae60b4391de3ccd30caa03842c35cc.jpeg,,,,"color=Black,manufacturer=Högl,name_of_store=Högl Store Spice SC,url_to_product=0",Black,,,,Högl,,Högl Store Spice SC,,,,,,,,,,,,,,0,,,,,,,,,,,,,
0-120010-0100 - Högl Store Spice SC,default,Default,simple,Default Category/SIEVIETĒM/Apavi/Apavi bez papēžiem,Default Category/SIEVIETĒM/Apavi/Apavi bez papēžiem=0,"89,88,83",base,BOULEVARD 10,,,,1,Taxable Goods,"Catalog, Search",139,,,,boulevard-10-0-120010-0100-hogl-store-spice-sc,BOULEVARD 10 - Högl Store Spice SC | Spice,,BOULEVARD 10 no zīmola Högl Store Spice SC par €139. TC Spice atrodamie Apavi bez papēžiem tagad arī internetā!,/e/0/e0d33e466c94e00c817a644e201358198dae60b4391de3ccd30caa03842c35cc.jpeg,,/e/0/e0d33e466c94e00c817a644e201358198dae60b4391de3ccd30caa03842c35cc.jpeg,,/e/0/e0d33e466c94e00c817a644e201358198dae60b4391de3ccd30caa03842c35cc.jpeg,,,,"9/30/20, 6:45 PM","10/14/20, 2:31 PM",,,Block after Info Column,,,,,,,,,,,Use config,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,0,1,0,0,0,,,,,,,/e/0/e0d33e466c94e00c817a644e201358198dae60b4391de3ccd30caa03842c35cc.jpeg,,,,name_of_store=HÖGL,Black,,,,Högl,,HÖGL,,,,,,,,,,,,,,0,,,,,,,,,,,,,
0-120014-0100 - Högl Store Spice SC,,Default,simple,Default Category/SIEVIETĒM/Apavi/Apavi bez papēžiem,Default Category/SIEVIETĒM/Apavi/Apavi bez papēžiem=0,"89,88,83",base,BOULEVARD 10,,,,1,Taxable Goods,"Catalog, Search",129,,,,boulevard-10-0-120014-0100-hogl-store-spice-sc,BOULEVARD 10 - Högl Store Spice SC | Spice,,BOULEVARD 10 no zīmola Högl Store Spice SC par €129. TC Spice atrodamie Apavi bez papēžiem tagad arī internetā!,/7/5/758d84498497847554955aaeeb1ca0e0498b03924bff481b7203ae0f0c6c2925.jpeg,,/7/5/758d84498497847554955aaeeb1ca0e0498b03924bff481b7203ae0f0c6c2925.jpeg,,/7/5/758d84498497847554955aaeeb1ca0e0498b03924bff481b7203ae0f0c6c2925.jpeg,,,,"9/30/20, 6:45 PM","10/14/20, 2:31 PM",,,Block after Info Column,,,,,,,,,,,Use config,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,0,1,0,0,0,,,,,,,/7/5/758d84498497847554955aaeeb1ca0e0498b03924bff481b7203ae0f0c6c2925.jpeg,,,,"color=Black,manufacturer=Högl,name_of_store=Högl Store Spice SC,url_to_product=0",Black,,,,Högl,,Högl Store Spice SC,,,,,,,,,,,,,,0,,,,,,,,,,,,,
0-120014-0100 - Högl Store Spice SC,default,Default,simple,Default Category/SIEVIETĒM/Apavi/Apavi bez papēžiem,Default Category/SIEVIETĒM/Apavi/Apavi bez papēžiem=0,"89,88,83",base,BOULEVARD 10,,,,1,Taxable Goods,"Catalog, Search",129,,,,boulevard-10-0-120014-0100-hogl-store-spice-sc,BOULEVARD 10 - Högl Store Spice SC | Spice,,BOULEVARD 10 no zīmola Högl Store Spice SC par €129. TC Spice atrodamie Apavi bez papēžiem tagad arī internetā!,/7/5/758d84498497847554955aaeeb1ca0e0498b03924bff481b7203ae0f0c6c2925.jpeg,,/7/5/758d84498497847554955aaeeb1ca0e0498b03924bff481b7203ae0f0c6c2925.jpeg,,/7/5/758d84498497847554955aaeeb1ca0e0498b03924bff481b7203ae0f0c6c2925.jpeg,,,,"9/30/20, 6:45 PM","10/14/20, 2:31 PM",,,Block after Info Column,,,,,,,,,,,Use config,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,0,1,0,0,0,,,,,,,/7/5/758d84498497847554955aaeeb1ca0e0498b03924bff481b7203ae0f0c6c2925.jpeg,,,,name_of_store=HÖGL,Black,,,,Högl,,HÖGL,,,,,,,,,,,,,,0,,,,,,,,,,,,,
0-124200-0100 - Högl Store Spice SC,,Default,simple,Default Category/SIEVIETĒM/Apavi/Augstpapēžu apavi,Default Category/SIEVIETĒM/Apavi/Augstpapēžu apavi=0,"91,88,83",base,BUTTERFLIGHT 40,,,,1,Taxable Goods,"Catalog, Search",159,,,,butterflight-40-0-124200-0100-hogl-store-spice-sc,BUTTERFLIGHT 40 - Högl Store Spice SC | Spice,,BUTTERFLIGHT 40 no zīmola Högl Store Spice SC par €159. TC Spice atrodamie Augstpapēžu apavi tagad arī internetā!,/9/3/936320d87a147a95d34303be3a42445acf8e2c4e692a04e22624f68490dbfaa2.jpeg,,/9/3/936320d87a147a95d34303be3a42445acf8e2c4e692a04e22624f68490dbfaa2.jpeg,,/9/3/936320d87a147a95d34303be3a42445acf8e2c4e692a04e22624f68490dbfaa2.jpeg,,,,"9/30/20, 6:45 PM","10/14/20, 2:31 PM",,,Block after Info Column,,,,,,,,,,,Use config,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,0,1,0,0,0,,,,,,,/9/3/936320d87a147a95d34303be3a42445acf8e2c4e692a04e22624f68490dbfaa2.jpeg,,,,"color=Black,manufacturer=Högl,name_of_store=Högl Store Spice SC,url_to_product=0",Black,,,,Högl,,Högl Store Spice SC,,,,,,,,,,,,,,0,,,,,,,,,,,,,
0-124200-0100 - Högl Store Spice SC,default,Default,simple,Default Category/SIEVIETĒM/Apavi/Augstpapēžu apavi,Default Category/SIEVIETĒM/Apavi/Augstpapēžu apavi=0,"91,88,83",base,BUTTERFLIGHT 40,,,,1,Taxable Goods,"Catalog, Search",159,,,,butterflight-40-0-124200-0100-hogl-store-spice-sc,BUTTERFLIGHT 40 - Högl Store Spice SC | Spice,,BUTTERFLIGHT 40 no zīmola Högl Store Spice SC par €159. TC Spice atrodamie Augstpapēžu apavi tagad arī internetā!,/9/3/936320d87a147a95d34303be3a42445acf8e2c4e692a04e22624f68490dbfaa2.jpeg,,/9/3/936320d87a147a95d34303be3a42445acf8e2c4e692a04e22624f68490dbfaa2.jpeg,,/9/3/936320d87a147a95d34303be3a42445acf8e2c4e692a04e22624f68490dbfaa2.jpeg,,,,"9/30/20, 6:45 PM","10/14/20, 2:31 PM",,,Block after Info Column,,,,,,,,,,,Use config,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,0,1,0,0,0,,,,,,,/9/3/936320d87a147a95d34303be3a42445acf8e2c4e692a04e22624f68490dbfaa2.jpeg,,,,name_of_store=HÖGL,Black,,,,Högl,,HÖGL,,,,,,,,,,,,,,0,,,,,,,,,,,,,
0-124202-0100 - Högl Store Spice SC,,Default,simple,Default Category/SIEVIETĒM/Apavi/Augstpapēžu apavi,Default Category/SIEVIETĒM/Apavi/Augstpapēžu apavi=0,"91,88,83",base,BUTTERFLIGHT 40,,,,1,Taxable Goods,"Catalog, Search",149,,,,butterflight-40-0-124202-0100-hogl-store-spice-sc,BUTTERFLIGHT 40 - Högl Store Spice SC | Spice,,BUTTERFLIGHT 40 no zīmola Högl Store Spice SC par €149. TC Spice atrodamie Augstpapēžu apavi tagad arī internetā!,/a/4/a43d7a9e5fbb2bf6dccc85e88c3191fd849f7aad6630f5e5cd28ff5ad970f88f.jpeg,,/a/4/a43d7a9e5fbb2bf6dccc85e88c3191fd849f7aad6630f5e5cd28ff5ad970f88f.jpeg,,/a/4/a43d7a9e5fbb2bf6dccc85e88c3191fd849f7aad6630f5e5cd28ff5ad970f88f.jpeg,,,,"9/30/20, 6:45 PM","10/14/20, 2:31 PM",,,Block after Info Column,,,,,,,,,,,Use config,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,0,1,0,0,0,,,,,,,/a/4/a43d7a9e5fbb2bf6dccc85e88c3191fd849f7aad6630f5e5cd28ff5ad970f88f.jpeg,,,,"color=Black,manufacturer=Högl,name_of_store=Högl Store Spice SC,url_to_product=0",Black,,,,Högl,,Högl Store Spice SC,,,,,,,,,,,,,,0,,,,,,,,,,,,,
0-124202-0100 - Högl Store Spice SC,default,Default,simple,Default Category/SIEVIETĒM/Apavi/Augstpapēžu apavi,Default Category/SIEVIETĒM/Apavi/Augstpapēžu apavi=0,"91,88,83",base,BUTTERFLIGHT 40,,,,1,Taxable Goods,"Catalog, Search",149,,,,butterflight-40-0-124202-0100-hogl-store-spice-sc,BUTTERFLIGHT 40 - Högl Store Spice SC | Spice,,BUTTERFLIGHT 40 no zīmola Högl Store Spice SC par €149. TC Spice atrodamie Augstpapēžu apavi tagad arī internetā!,/a/4/a43d7a9e5fbb2bf6dccc85e88c3191fd849f7aad6630f5e5cd28ff5ad970f88f.jpeg,,/a/4/a43d7a9e5fbb2bf6dccc85e88c3191fd849f7aad6630f5e5cd28ff5ad970f88f.jpeg,,/a/4/a43d7a9e5fbb2bf6dccc85e88c3191fd849f7aad6630f5e5cd28ff5ad970f88f.jpeg,,,,"9/30/20, 6:45 PM","10/14/20, 2:31 PM",,,Block after Info Column,,,,,,,,,,,Use config,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,0,1,0,0,0,,,,,,,/a/4/a43d7a9e5fbb2bf6dccc85e88c3191fd849f7aad6630f5e5cd28ff5ad970f88f.jpeg,,,,name_of_store=HÖGL,Black,,,,Högl,,HÖGL,,,,,,,,,,,,,,0,,,,,,,,,,,,,
0-125004-0100 - Högl Store Spice SC,,Default,simple,Default Category/SIEVIETĒM/Apavi/Augstpapēžu apavi,Default Category/SIEVIETĒM/Apavi/Augstpapēžu apavi=0,"91,88,83",base,STUDIO 50,,,,1,Taxable Goods,"Catalog, Search",129,,,,studio-50-0-125004-0100-hogl-store-spice-sc,STUDIO 50 - Högl Store Spice SC | Spice,,STUDIO 50 no zīmola Högl Store Spice SC par €129. TC Spice atrodamie Augstpapēžu apavi tagad arī internetā!,/0/1/01fed7b501e5909eeaafea0a1a3688584a272c9524f5cd496a8f67f8e590d29a.jpeg,,/0/1/01fed7b501e5909eeaafea0a1a3688584a272c9524f5cd496a8f67f8e590d29a.jpeg,,/0/1/01fed7b501e5909eeaafea0a1a3688584a272c9524f5cd496a8f67f8e590d29a.jpeg,,,,"9/30/20, 6:45 PM","10/14/20, 2:31 PM",,,Block after Info Column,,,,,,,,,,,Use config,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,0,1,0,0,0,,,,,,,/0/1/01fed7b501e5909eeaafea0a1a3688584a272c9524f5cd496a8f67f8e590d29a.jpeg,,,,"color=Black,manufacturer=Högl,name_of_store=Högl Store Spice SC,url_to_product=0",Black,,,,Högl,,Högl Store Spice SC,,,,,,,,,,,,,,0,,,,,,,,,,,,,
0-125004-0100 - Högl Store Spice SC,default,Default,simple,Default Category/SIEVIETĒM/Apavi/Augstpapēžu apavi,Default Category/SIEVIETĒM/Apavi/Augstpapēžu apavi=0,"91,88,83",base,STUDIO 50,,,,1,Taxable Goods,"Catalog, Search",129,,,,studio-50-0-125004-0100-hogl-store-spice-sc,STUDIO 50 - Högl Store Spice SC | Spice,,STUDIO 50 no zīmola Högl Store Spice SC par €129. TC Spice atrodamie Augstpapēžu apavi tagad arī internetā!,/0/1/01fed7b501e5909eeaafea0a1a3688584a272c9524f5cd496a8f67f8e590d29a.jpeg,,/0/1/01fed7b501e5909eeaafea0a1a3688584a272c9524f5cd496a8f67f8e590d29a.jpeg,,/0/1/01fed7b501e5909eeaafea0a1a3688584a272c9524f5cd496a8f67f8e590d29a.jpeg,,,,"9/30/20, 6:45 PM","10/14/20, 2:31 PM",,,Block after Info Column,,,,,,,,,,,Use config,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,0,1,0,0,0,,,,,,,/0/1/01fed7b501e5909eeaafea0a1a3688584a272c9524f5cd496a8f67f8e590d29a.jpeg,,,,name_of_store=HÖGL,Black,,,,Högl,,HÖGL,,,,,,,,,,,,,,0,,,,,,,,,,,,,
